date,EFH_electricity_bus_shortage_output1,EFH_pv_bus_excess_input1,EFH_hp_electricity_bus_shortage_output1,EFH_pv_to_EFH_electricity_link_input1,EFH_pv_to_EFH_electricity_link_output1,EFH_battery_storage_input1,EFH_battery_storage_output1,EFH_battery_storage_capacity,EFH_thermal_storage_input1,EFH_thermal_storage_output1,EFH_thermal_storage_capacity,EFH_electricity_to_EFH_hp_electricity_bus_input1,EFH_electricity_to_EFH_hp_electricity_bus_output1,EFH_electricity_sink_input1,EFH_heat_sink_input1,EFH_GCHP_transformer_input1,EFH_GCHP_transformer_input2,EFH_GCHP_transformer_output1,EFH_ASHP_transformer_input1,EFH_ASHP_transformer_input2,EFH_ASHP_transformer_output1,EFH_photovoltaic_electricity_source_output1
2011-12-04 15:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.60514723,9.3825028,0.0,0.94772304,17.032936,-0.0,0.0,0.6051472290288314,0.9477230404697309,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0
2011-12-04 16:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.58477019,8.7857986,0.0,1.0562612,15.955118,-0.0,0.0,0.584770186212809,1.05626115404308,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0
2011-12-04 17:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.62399599,8.149068,0.0,1.1303847,14.801664,-0.0,0.0,0.6239959936336524,1.1303847438004893,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0
2011-12-04 18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.72425104,7.4100363,0.0,1.2124501,13.56447,-0.0,0.0,0.7242510442884836,1.2124501467461921,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0
2011-12-04 19:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.84141904,6.5514454,0.0,1.3633446,12.173302,-0.0,0.0,0.8414190404806138,1.363344597323775,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0
2011-12-04 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.84860195,5.6855251,0.0,1.376581,10.768628,-0.0,0.0,0.8486019480732617,1.376580952637598,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0
2011-12-04 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.80260077,4.8665447,0.0,1.1700938,9.5746546,-0.0,0.0,0.8026007739160906,1.1700938097419584,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0
2011-12-04 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.73617161,4.1153492,0.0,0.81271222,8.7453565,-0.0,0.0,0.736171614335857,0.8127122162687358,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0
2011-12-04 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.57096474,3.5327321,0.0,0.39179612,8.3455645,-0.0,0.0,0.5709647397049536,0.3917961172891625,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0
2011-12-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.29704634,3.2296236,0.0,1.861764,6.4458053,-0.0,0.0,0.29704634165056965,1.861764000327927,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0
